2024-04-20 00:16:32 +0300 ('127.0.0.1', 48124) -> UDP://dns.google:53 [8.8.4.4]
2024-04-20 12:44:33 +0300 ('127.0.0.1', 52280) -> UDP://dns.google:53 [8.8.8.8]
2024-04-20 12:59:16 +0300 ('127.0.0.1', 60556) -> TCP://vk.com:80 [87.240.129.133]
2024-04-20 12:59:20 +0300 ('127.0.0.1', 60562) -> TCP://vk.com:80 [93.186.225.194]
2024-04-20 12:59:23 +0300 ('127.0.0.1', 60576) -> TCP://vk.com:80 [93.186.225.194]
2024-04-20 13:16:53 +0300 ('127.0.0.1', 34008) -> UDP://dns.google:53 [8.8.8.8]
2024-04-20 13:18:16 +0300 ('127.0.0.1', 51888) -> UDP://dns.google:53 [8.8.8.8]
2024-04-20 13:24:55 +0300 ('127.0.0.1', 41948) -> TCP://vk.com:80 [87.240.129.133]
2024-04-20 13:25:02 +0300 ('127.0.0.1', 41956) -> TCP://vk.com:80 [87.240.137.164]
2024-04-20 13:25:10 +0300 ('127.0.0.1', 33032) -> TCP://vk.com:80 [87.240.132.72]
2024-04-20 13:45:34 +0300 ('127.0.0.1', 46200) -> UDP://tanatos.org:80 [167.172.59.39]
2024-04-20 13:45:52 +0300 ('127.0.0.1', 52418) -> UDP://1.1.1.1:53 [1.1.1.1]
2024-04-20 13:45:59 +0300 ('127.0.0.1', 49730) -> UDP://1.1.1.1:53 [1.1.1.1]
2024-04-20 13:46:11 +0300 ('127.0.0.1', 45898) -> UDP://1.1.1.1:53 [1.1.1.1]
2024-04-20 13:46:14 +0300 ('127.0.0.1', 45904) -> UDP://1.1.1.1:53 [1.1.1.1]
2024-04-20 13:46:16 +0300 ('127.0.0.1', 36390) -> UDP://1.1.1.1:53 [1.1.1.1]
2024-04-20 13:46:17 +0300 ('127.0.0.1', 36398) -> UDP://1.1.1.1:53 [1.1.1.1]
2024-04-20 13:46:21 +0300 ('127.0.0.1', 36402) -> UDP://1.1.1.1:53 [1.1.1.1]
2024-04-20 13:46:22 +0300 ('127.0.0.1', 36404) -> UDP://1.1.1.1:53 [1.1.1.1]
2024-04-20 13:46:24 +0300 ('127.0.0.1', 36420) -> UDP://1.1.1.1:53 [1.1.1.1]
2024-04-20 13:50:43 +0300 ('127.0.0.1', 53498) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:50:54 +0300 ('127.0.0.1', 58518) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:51:44 +0300 ('127.0.0.1', 33158) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:51:44 +0300 ('127.0.0.1', 33164) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:51:44 +0300 ('127.0.0.1', 33178) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:51:44 +0300 ('127.0.0.1', 33184) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:52:27 +0300 ('127.0.0.1', 35852) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:52:27 +0300 ('127.0.0.1', 35868) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:52:27 +0300 ('127.0.0.1', 35878) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:52:27 +0300 ('127.0.0.1', 35884) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:52:48 +0300 ('127.0.0.1', 36434) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:52:48 +0300 ('127.0.0.1', 36448) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:52:48 +0300 ('127.0.0.1', 36460) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:52:48 +0300 ('127.0.0.1', 36470) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:54:38 +0300 ('127.0.0.1', 45380) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:55:20 +0300 ('127.0.0.1', 42066) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:55:20 +0300 ('127.0.0.1', 42074) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:55:20 +0300 ('127.0.0.1', 42076) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:55:20 +0300 ('127.0.0.1', 42082) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:55:54 +0300 ('127.0.0.1', 42424) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:55:54 +0300 ('127.0.0.1', 42428) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:55:54 +0300 ('127.0.0.1', 42432) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:55:54 +0300 ('127.0.0.1', 42442) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:56:25 +0300 ('127.0.0.1', 50580) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:56:25 +0300 ('127.0.0.1', 50582) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:56:25 +0300 ('127.0.0.1', 50592) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:56:25 +0300 ('127.0.0.1', 50598) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:57:38 +0300 ('127.0.0.1', 33476) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:57:38 +0300 ('127.0.0.1', 33488) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:57:38 +0300 ('127.0.0.1', 33502) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:57:38 +0300 ('127.0.0.1', 33516) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:58:41 +0300 ('127.0.0.1', 37264) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:58:41 +0300 ('127.0.0.1', 37272) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:58:41 +0300 ('127.0.0.1', 37286) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:58:41 +0300 ('127.0.0.1', 37302) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:58:41 +0300 ('127.0.0.1', 37308) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:59:05 +0300 ('127.0.0.1', 43822) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:59:05 +0300 ('127.0.0.1', 43834) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:59:05 +0300 ('127.0.0.1', 43848) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:59:05 +0300 ('127.0.0.1', 43854) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:59:05 +0300 ('127.0.0.1', 43864) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:59:05 +0300 ('127.0.0.1', 43874) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 13:59:05 +0300 ('127.0.0.1', 43886) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:02:24 +0300 ('127.0.0.1', 33042) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:02:24 +0300 ('127.0.0.1', 33050) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:02:24 +0300 ('127.0.0.1', 33062) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:02:24 +0300 ('127.0.0.1', 33064) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:06:30 +0300 ('127.0.0.1', 56386) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:06:30 +0300 ('127.0.0.1', 56402) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:06:30 +0300 ('127.0.0.1', 56408) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:06:30 +0300 ('127.0.0.1', 56410) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:07:41 +0300 ('127.0.0.1', 49766) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:08:03 +0300 ('127.0.0.1', 35778) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:08:03 +0300 ('127.0.0.1', 35782) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:08:03 +0300 ('127.0.0.1', 35784) -> UDP://tanatos.org:8080 [167.172.59.39]
2024-04-20 14:08:03 +0300 ('127.0.0.1', 35790) -> UDP://tanatos.org:8080 [167.172.59.39]
